year,party_code,uo_code,delta_mkr,source_url,source_section
2025,MP,UO24,353,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO25,966,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO26,0,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO27,0,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,V,UO01,316.3,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO02,144,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO03,100,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO04,95,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO05,51.6,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO06,0,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO07,10598.544,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO08,105,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO09,6278,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO10,16050.3,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO11,3300,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO12,14387.9,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO13,1569,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO14,18671,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO15,620,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO16,5385,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO17,2367,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO18,6871,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO19,170,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO20,15486,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO21,4305,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO22,15447,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO23,3007,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO24,527,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO25,6647,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO26,0,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO27,0,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
